Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,RiskPerTradePct,MaxDailyLossPct,MaxWeeklyLossPct,AsianOpenHour,NYOpenHour,NYCloseHour,MinutesBeforeNYClose,AggressiveTrailHoursBeforeClose,NewsWindowMinutes,ATR_Period,ATR_Multiplier,PartialTakeProfitRR,ExtendedTakeProfitRR,NY_Precision_ADX_Level
5586,3.63,46156.82,119.57725,1.27384,2.13738,3.63191,0,8.20,386,0.5,2,8.5,6,58,17,15,2,30,14,1.5,6.96,7.68,198
8203,-1.54,-6406.09,-29.65782,0.84015,-0.29731,-1.53678,0,8.20,216,0.5,14.4,6.5,0,106,17,127,2,30,16,8.1,6.96,39.36,174
2021,3.30,35681.50,66.07685,1.22943,1.53018,3.29516,0,8.20,540,0.5,2,5,7,17,17,89,17,118,18,1.5,12,25.44,216
2518,5.09,33785.82,77.84751,1.30840,1.51284,5.09133,0,8.21,434,0.5,2,5,9,59,17,22,13,237,101,1.5,8.76,13.44,123
2814,0.39,2255.86,7.37209,1.03052,0.10607,0.38548,0,8.21,306,0.5,2,5,0,55,17,15,2,280,127,3.15,1.2,4.8,219
1993,5.11,38677.25,83.35614,1.33336,1.71794,5.10939,0,8.21,464,0.5,2,37,9,104,17,15,18,284,27,1.65,8.52,26.88,192
2278,0.36,3812.39,7.78039,1.01870,0.17907,0.35909,0,8.22,490,0.5,2,5,0,126,17,15,2,286,15,1.5,2.16,5.28,39
6712,0.99,10295.62,23.08435,1.05129,0.48364,0.99263,0,8.22,446,0.5,11.6,32.5,1,14,17,15,2,30,14,1.5,2.28,4.8,138
2079,5.13,34383.06,77.09206,1.30960,1.53453,5.12673,0,8.22,446,0.5,2,5,9,59,17,22,13,237,93,1.5,8.76,13.44,123
9054,1.59,19160.71,36.98979,1.09344,0.85501,1.59025,0,8.23,518,0.5,11.4,22.5,0,126,17,15,2,30,14,1.5,1.92,12.48,117
8440,4.17,52324.17,133.48003,1.30327,2.39446,4.17010,0,8.23,392,0.5,2,13,6,17,17,15,2,30,14,1.5,6.96,6.24,30
8736,4.17,52324.17,133.48003,1.30327,2.39446,4.17010,0,8.23,392,0.5,2,17,6,17,17,15,2,30,14,1.5,6.96,6.24,198
8823,4.17,52324.17,133.48003,1.30327,2.39446,4.17010,0,8.23,392,0.5,2,12.5,6,17,17,15,2,30,14,1.5,6.96,6.24,30
2127,6.26,35225.55,124.03363,1.43138,1.61444,6.25775,0,8.23,284,0.5,2,5,9,128,17,15,2,61,134,1.95,2.64,12.48,147
2333,6.25,35124.44,123.67761,1.43051,1.60932,6.24790,0,8.23,284,0.5,2,5,9,128,17,15,2,61,133,1.95,2.64,12.48,99
2578,3.74,20498.64,45.96108,1.15697,0.92601,3.73655,0,8.24,446,0.5,2,5,7,57,17,15,2,158,129,1.5,1.2,4.8,180
4178,7.83,37316.28,97.68660,1.36413,1.68847,7.83352,0,8.25,382,0.5,2,5,9,32,17,15,2,237,110,1.5,1.2,4.8,279
3256,7.64,71329.66,227.16452,1.53707,3.20308,7.64124,0,8.25,314,0.55,8,5,9,16,17,15,2,36,16,1.5,5.04,7.68,48
3567,8.94,83018.46,267.80148,1.72525,3.70102,8.93715,0,8.26,310,0.5,2,5,9,129,17,15,2,237,46,1.65,10.92,7.2,96
2945,8.84,83191.36,271.86719,1.74525,3.70344,8.84424,0,8.26,306,0.5,2,5,9,128,17,15,2,61,46,1.65,7.68,47.04,93
6383,0.55,6142.12,15.66867,1.03493,0.27596,0.54847,0,8.26,392,0.5,5.2,32.5,1,14,17,30,2,30,14,1.5,2.28,35.52,36
2977,8.77,77210.04,249.06465,1.68153,3.47554,8.77328,0,8.26,310,0.5,2,5,9,128,17,15,2,286,46,1.65,10.92,5.76,48
3865,8.39,71185.64,229.63110,1.63432,3.23591,8.39021,0,8.26,310,0.5,2,5,9,128,17,15,2,286,46,1.65,12,4.8,48
2547,2.33,13828.17,21.88002,1.09267,0.63657,2.33291,0,8.27,632,0.5,11.6,22.5,6,97,17,15,17,210,14,1.5,1.2,4.8,171
5091,7.89,49552.07,172.05580,1.60362,2.21279,7.89033,0,8.28,288,0.5,3.4,5,9,17,21,30,3,142,91,1.5,1.2,24,180
3606,8.75,81593.63,264.91438,1.73158,3.62042,8.74893,0,8.28,308,0.5,2,5,9,115,17,15,2,142,48,1.65,7.68,47.04,93
1527,2.24,26958.00,42.38679,1.13594,1.15158,2.24035,0,8.29,636,0.5,18,21,3,44,17,46,10,163,17,1.5,4.56,18.24,81
3427,8.69,75994.67,243.57266,1.67109,3.40710,8.68544,0,8.29,312,0.5,2,5,9,115,17,15,2,92,48,1.65,10.92,5.76,48
4810,7.55,45579.50,155.03231,1.49824,2.05770,7.54953,0,8.29,294,0.5,2,29,9,16,17,15,2,118,90,1.5,2.04,24,93
2188,2.65,28151.36,47.23383,1.17499,1.16145,2.65073,0,8.29,596,0.5,2,5,5,109,17,15,17,134,46,1.65,9,26.4,195
4748,7.56,55439.12,191.16938,1.55437,2.48069,7.55606,0,8.30,290,0.5,2,5,9,16,17,15,2,57,90,1.5,5.04,17.76,177
5449,7.56,55439.12,191.16938,1.55437,2.48069,7.55606,0,8.30,290,0.5,2,5,9,16,17,15,2,120,90,1.5,5.04,17.76,177
3779,8.07,76034.61,242.14844,1.65458,3.32389,8.07052,0,8.30,314,0.5,2,5,9,115,17,15,2,120,49,1.65,12,9.6,93
2532,8.60,75011.88,238.89134,1.66227,3.35660,8.60438,0,8.31,314,0.5,2,5,9,128,17,15,2,92,49,1.65,10.92,5.76,48
2829,8.60,75011.88,238.89134,1.66227,3.35660,8.60438,0,8.31,314,0.5,2,5,9,112,17,15,2,92,49,1.65,10.92,5.76,48
3139,8.60,75011.88,238.89134,1.66227,3.35660,8.60438,0,8.31,314,0.5,2,5,9,115,17,15,2,248,49,1.65,10.92,5.76,96
3572,8.60,75011.88,238.89134,1.66227,3.35660,8.60438,0,8.31,314,0.5,2,5,9,115,17,15,2,118,49,1.65,10.92,5.76,48
